Invoice_ID,Branch,City,Customer type,Gender,Product_line, Unit_price ,Quantity,Tax_5, Total ,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,Selling_price_per_unit
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,212.02,15-03-2019,10:12,Credit card,193.16,4.76,9.2,5.1,106.009
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,436.50,06-02-2019,10:42,Ewallet,397.68,4.76,18.94,7.5,109.126
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,74.77,07-01-2019,12:28,Ewallet,68.12,4.76,3.24,6.8,74.766
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,343.67,10-03-2019,19:15,Ewallet,313.1,4.76,14.91,7,68.733
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,601.41,15-01-2019,17:17,Ewallet,547.92,4.76,26.09,4.7,66.82288889
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,482.25,23-03-2019,13:24,Ewallet,439.36,4.76,20.92,7.6,60.281
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,264.48,03-03-2019,13:01,Cash,240.96,4.76,11.47,7.7,33.05975
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,95.19,17-01-2019,18:45,Ewallet,86.72,4.76,4.13,7.9,95.186
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,123.17,02-02-2019,10:11,Cash,112.22,4.76,5.34,6.3,61.5855
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,455.21,08-02-2019,13:03,Cash,414.72,4.76,19.75,5.6,75.86766667
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,866.68,04-03-2019,20:39,Cash,789.6,4.76,37.6,7.6,108.335
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,33.74,16-03-2019,19:47,Cash,30.74,4.76,1.46,7.2,16.8685
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,412.53,09-03-2019,18:00,Cash,375.84,4.76,17.9,9.5,103.133
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,560.02,27-02-2019,17:24,Credit card,510.21,4.76,24.3,8.4,62.2245
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,197.67,06-02-2019,15:47,Ewallet,180.09,4.76,8.58,4.1,21.96383333
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,124.67,10-02-2019,12:45,Credit card,113.58,4.76,5.41,8.1,20.77816667
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,906.97,19-03-2019,17:08,Ewallet,826.3,4.76,39.35,7.9,90.6965
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,702.26,03-02-2019,10:19,Cash,639.8,4.76,30.47,9.5,100.3228571
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,244.72,10-02-2019,15:10,Cash,222.95,4.76,10.62,8.5,48.9435
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,78.45,22-03-2019,14:42,Ewallet,71.48,4.76,3.4,6.5,19.6135
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.93,25-01-2019,15:46,Credit card,15.43,4.76,0.73,6.1,16.9315
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,35.48,07-03-2019,11:49,Ewallet,32.32,4.76,1.54,6.5,17.738
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,754.98,28-02-2019,19:01,Cash,687.84,4.76,32.75,8.2,94.37275
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,97.33,27-03-2019,11:26,Cash,88.68,4.76,4.22,5.8,48.667
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,786.77,07-02-2019,11:28,Ewallet,716.8,4.76,34.13,6.6,98.34625
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,794.13,20-01-2019,15:55,Cash,723.5,4.76,34.45,5.4,79.4125
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,201.59,12-03-2019,20:36,Cash,183.66,4.76,8.75,9.3,33.59883333
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,81.46,15-02-2019,17:47,Credit card,74.22,4.76,3.53,10,27.15366667
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,367.02,24-02-2019,10:55,Ewallet,334.38,4.76,15.92,7,61.16983333
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,544.01,03-02-2019,13:40,Ewallet,495.63,4.76,23.6,10,60.44572222
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,173.54,06-03-2019,12:27,Credit card,158.1,4.76,7.53,8.6,17.3535
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,332.54,14-02-2019,14:35,Cash,302.96,4.76,14.43,7.6,83.1345
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,174.20,13-03-2019,16:40,Cash,158.7,4.76,7.56,5.8,17.4195
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,73.48,10-02-2019,15:43,Ewallet,66.94,4.76,3.19,6.7,36.7385
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,642.83,07-01-2019,15:01,Ewallet,585.66,4.76,27.89,9.9,107.1388333
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,864.60,24-01-2019,10:04,Cash,787.7,4.76,37.51,6.4,86.4595
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,20.12,02-02-2019,18:50,Cash,18.33,4.76,0.87,4.3,20.1165
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,982.15,06-01-2019,12:46,Credit card,894.8,4.76,42.61,9.6,98.215
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,681.84,11-02-2019,16:19,Cash,621.2,4.76,29.58,5.9,68.184
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,159.77,05-03-2019,18:17,Ewallet,145.56,4.76,6.93,4,53.256
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,499.92,09-03-2019,18:21,Cash,455.46,4.76,21.69,8.7,83.3205
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,737.63,22-01-2019,10:55,Ewallet,672.03,4.76,32,9.4,81.95905556
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,457.16,13-01-2019,17:04,Credit card,416.5,4.76,19.83,5.4,45.7155
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,484.45,09-01-2019,14:20,Credit card,441.36,4.76,21.02,8.6,53.82755556
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,197.67,12-01-2019,15:48,Credit card,180.09,4.76,8.58,5.7,21.96383333
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,859.55,05-03-2019,16:24,Ewallet,783.1,4.76,37.29,6.6,85.9545
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,111.85,22-01-2019,18:56,Cash,101.9,4.76,4.85,6,22.369
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,653.24,21-01-2019,14:42,Credit card,595.14,4.76,28.34,5.5,108.8728333
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,318.35,26-01-2019,19:56,Ewallet,290.04,4.76,13.81,6.4,106.1173333
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,169.03,23-01-2019,18:37,Ewallet,154,4.76,7.33,6.6,21.12875
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,352.82,23-02-2019,18:45,Credit card,321.44,4.76,15.31,8.3,88.2055
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,268.43,09-03-2019,10:17,Cash,244.55,4.76,11.65,6.6,53.6855
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,638.18,05-03-2019,14:31,Ewallet,581.42,4.76,27.69,4,91.16871429
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,419.95,25-03-2019,10:23,Cash,382.6,4.76,18.22,9.9,83.99
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,379.40,27-03-2019,20:35,Credit card,345.66,4.76,16.46,7.3,54.20042857
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,46.61,02-01-2019,16:57,Cash,42.47,4.76,2.02,5.7,46.6135
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,507.04,27-02-2019,17:55,Cash,461.94,4.76,22,6.1,84.50616667
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,208.02,23-01-2019,10:25,Cash,189.52,4.76,9.02,7.1,52.004
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,492.39,26-01-2019,19:54,Ewallet,448.6,4.76,21.36,8.2,49.239
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,168.88,10-01-2019,16:42,Ewallet,153.86,4.76,7.33,5.1,24.12614286
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,635.78,12-03-2019,12:09,Credit card,579.24,4.76,27.58,8.6,70.64244444
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,98.51,06-02-2019,20:05,Credit card,89.75,4.76,4.27,6.6,98.5075
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,106.65,08-03-2019,20:38,Ewallet,97.16,4.76,4.63,7.2,106.648
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,964.48,29-03-2019,10:25,Ewallet,878.7,4.76,41.84,5.1,96.4475
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,82.00,09-02-2019,13:11,Cash,74.7,4.76,3.56,4.1,13.66583333
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,173.70,23-03-2019,10:16,Ewallet,158.25,4.76,7.54,9.3,57.90083333
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,544.64,05-03-2019,18:14,Cash,496.2,4.76,23.63,7.4,90.77333333
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,53.47,26-03-2019,19:20,Cash,48.71,4.76,2.32,4.1,53.4655
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,775.96,01-03-2019,13:22,Cash,706.95,4.76,33.66,7.2,86.2175
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,227.90,01-02-2019,11:27,Cash,207.63,4.76,9.89,4.9,25.32238889
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,383.69,28-03-2019,16:44,Cash,349.56,4.76,16.65,9.9,63.948
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,233.19,19-03-2019,18:19,Cash,212.45,4.76,10.12,8,33.31321429
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,973.26,12-01-2019,14:50,Ewallet,886.7,4.76,42.22,7.3,97.3255
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,180.31,05-01-2019,20:54,Credit card,164.28,4.76,7.82,7.9,30.05233333
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,409.17,22-03-2019,20:19,Cash,372.78,4.76,17.75,7.4,68.19483333
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,335.67,24-03-2019,10:43,Cash,305.82,4.76,14.56,4.2,37.29677778
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,899.72,03-03-2019,14:30,Cash,819.7,4.76,39.03,9.2,89.9715
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,36.20,05-02-2019,11:32,Ewallet,32.98,4.76,1.57,4.6,18.0995
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,323.39,05-02-2019,10:41,Credit card,294.63,4.76,14.03,7.8,107.7971667
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,559.65,15-02-2019,12:44,Cash,509.88,4.76,24.28,8.4,79.95057143
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,573.65,19-01-2019,20:07,Ewallet,522.63,4.76,24.89,4.3,63.73905556
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,798.09,01-02-2019,20:31,Credit card,727.11,4.76,34.62,9.5,88.67616667
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,88.97,02-03-2019,13:01,Credit card,81.06,4.76,3.86,7.1,29.65766667
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,120.41,05-03-2019,12:29,Ewallet,109.7,4.76,5.22,5.3,24.081
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,56.38,16-01-2019,15:26,Ewallet,51.36,4.76,2.45,5.2,56.378
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,120.30,02-02-2019,20:48,Ewallet,109.6,4.76,5.22,6,12.03
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,117.31,20-01-2019,20:38,Ewallet,106.88,4.76,5.09,4.1,58.657
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,874.23,14-02-2019,17:03,Credit card,796.48,4.76,37.93,5.2,109.27925
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,438.87,12-01-2019,12:02,Credit card,399.84,4.76,19.04,6.5,62.696
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,987.46,09-03-2019,17:26,Credit card,899.64,4.76,42.84,4.2,109.718
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,561.19,13-03-2019,19:52,Credit card,511.28,4.76,24.35,4.6,70.14925
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,495.86,09-03-2019,14:57,Ewallet,451.76,4.76,21.51,7.3,61.98225
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,719.85,10-03-2019,18:44,Credit card,655.83,4.76,31.23,4.5,102.8359286
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,176.99,27-01-2019,13:26,Cash,161.25,4.76,7.68,9,35.3985
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,313.45,08-01-2019,16:17,Credit card,285.57,4.76,13.6,5.9,34.82761111
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,601.85,08-01-2019,15:57,Ewallet,548.32,4.76,26.11,8.5,75.23075
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,891.84,08-02-2019,11:15,Ewallet,812.52,4.76,38.69,7.2,99.09288889
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,304.42,25-01-2019,13:18,Cash,277.34,4.76,13.21,7.5,43.48814286
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,606.74,06-03-2019,20:34,Cash,552.78,4.76,26.32,8.3,101.1231667
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,152.97,10-02-2019,18:36,Cash,139.36,4.76,6.64,7.4,38.242
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,575.93,17-02-2019,14:40,Credit card,524.7,4.76,24.99,8.8,95.9875
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,535.42,08-03-2019,16:43,Ewallet,487.8,4.76,23.23,5.3,89.23666667
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,297.08,18-02-2019,19:39,Cash,270.66,4.76,12.89,6.2,99.02766667
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,144.39,18-01-2019,20:59,Credit card,131.55,4.76,6.26,8.8,28.8775
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,226.68,18-02-2019,15:39,Cash,206.52,4.76,9.83,9.8,37.77933333
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,569.78,16-02-2019,12:21,Cash,519.1,4.76,24.72,8.2,56.9775
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,636.62,16-03-2019,19:25,Ewallet,580,4.76,27.62,9.2,79.5775
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,985.66,23-01-2019,13:00,Credit card,898,4.76,42.76,5.4,98.566
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,993.35,25-01-2019,13:48,Cash,905,4.76,43.1,8.1,99.335
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,752.97,05-02-2019,19:57,Cash,686,4.76,32.67,9.1,75.297
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,33.38,22-02-2019,10:36,Credit card,30.41,4.76,1.45,8.4,33.3805
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,513.36,21-01-2019,16:37,Ewallet,467.7,4.76,22.27,8,85.55916667
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,304.66,08-03-2019,17:11,Credit card,277.56,4.76,13.22,9.5,50.77633333
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,330.82,10-02-2019,12:28,Ewallet,301.4,4.76,14.35,9.2,33.082
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,290.39,19-03-2019,12:46,Credit card,264.56,4.76,12.6,5.6,72.597
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,631.00,06-03-2019,15:07,Credit card,574.88,4.76,27.38,6.2,78.8755
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,285.03,27-03-2019,13:48,Credit card,259.68,4.76,12.37,4.9,35.62925
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,401.91,23-03-2019,19:20,Credit card,366.16,4.76,17.44,4.8,100.477
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,265.54,11-03-2019,16:07,Credit card,241.92,4.76,11.52,7.3,37.93371429
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,822.29,29-01-2019,11:56,Credit card,749.16,4.76,35.67,7.4,91.36533333
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,108.53,07-02-2019,18:23,Ewallet,98.88,4.76,4.71,9.9,18.089
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,711.00,28-01-2019,13:05,Cash,647.76,4.76,30.85,9.3,88.87475
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,506.49,20-02-2019,15:55,Credit card,461.45,4.76,21.97,9,101.2985
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,79.22,04-01-2019,19:40,Cash,72.17,4.76,3.44,6.1,79.2185
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,275.94,07-03-2019,13:58,Ewallet,251.4,4.76,11.97,9.7,55.188
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,960.40,30-03-2019,14:43,Ewallet,874.98,4.76,41.67,6,106.711
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,615.04,27-03-2019,19:18,Ewallet,560.34,4.76,26.68,10,102.5061667
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,379.16,19-01-2019,19:39,Credit card,345.44,4.76,16.45,8.3,47.39525
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,69.90,25-02-2019,16:21,Cash,63.69,4.76,3.03,6,69.9045
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,351.82,13-03-2019,19:44,Credit card,320.53,4.76,15.26,7,50.2595
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,167.72,30-01-2019,19:42,Ewallet,152.8,4.76,7.28,6.5,83.86
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,437.95,20-02-2019,15:24,Credit card,399,4.76,19,5.9,43.795
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,373.81,25-02-2019,14:12,Ewallet,340.56,4.76,16.22,5.6,46.726
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1049.10,16-01-2019,13:32,Cash,955.8,4.76,45.51,4.8,104.91
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1086.42,08-02-2019,16:20,Credit card,989.8,4.76,47.13,8.7,108.642
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,337.71,19-01-2019,16:31,Cash,307.68,4.76,14.65,6.5,56.28566667
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,534.14,01-02-2019,15:10,Credit card,486.64,4.76,23.17,8.5,76.306
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,384.22,03-01-2019,11:36,Ewallet,350.05,4.76,16.67,5.5,76.8445
